optimizer,epochs,loss_function,lstm_unit,train_score,test_score
adam,20,mse,128,0.15972862557668063,0.17265592808185018
adam,20,mse,256,0.1678315062758498,0.1754061626189759
adam,20,mae,128,0.14697443160651263,0.15246159891881061
adam,20,mae,256,0.2549025278608091,0.1312859337773752
adam,40,mse,128,0.09579284542791212,0.18000010383431655
adam,40,mse,256,0.23638772919107928,0.1609544073842084
adam,40,mae,128,0.2901607042725597,0.17749012793057387
adam,40,mae,256,0.173449856016048,0.13967527863909873
rmsprop,20,mse,128,0.0810673545390218,0.1185790807501794
rmsprop,20,mse,256,0.08560107958053105,0.13221503898583073
rmsprop,20,mae,128,0.10044197103154451,0.11382713062298058
rmsprop,20,mae,256,0.10222669987333746,0.10836205163596077
rmsprop,40,mse,128,0.06358165123488312,0.13078230811468353
rmsprop,40,mse,256,0.04553795434212186,0.10416563421817418
rmsprop,40,mae,128,0.05222585843438413,0.12139124866236255
rmsprop,40,mae,256,0.05671452553907757,0.11893194378570586
